Time,Flux,Flux err
2459064.794226223,6273.5493,10.871872
2459064.79561511,6310.2646,10.888401
2459064.797003997,6278.906,10.867058
2459064.798392884,6279.3237,10.874301
2459064.799781771,6276.7744,10.861613
2459064.801170658,6302.754,10.88639
2459064.8025595453,6268.4233,10.870799
2459064.803948432,6280.342,10.871498
2459064.805337319,6277.4956,10.874519
2459064.806726206,6292.117,10.872433
2459064.8081150935,6289.377,10.87032
2459064.8095039804,6283.931,10.877046
2459064.8108928674,6288.4653,10.87244
2459064.8122817543,6281.88,10.881114
2459064.8136706417,6275.834,10.867901
2459064.815059528,6283.345,10.868839
2459064.8164484156,6275.106,10.867314
2459064.8178373026,6276.529,10.869773
2459064.8192261895,6302.3647,10.883411
2459064.8206150765,6282.2773,10.870459
2459064.8220039634,6255.839,10.854813
2459064.823392851,6264.362,10.866685
2459064.8247817378,6283.8447,10.88142
2459064.8261706247,6286.33,10.868754
2459064.8275595116,6288.6724,10.87702
2459064.8289483986,6290.612,10.871381
2459064.830337286,6274.763,10.872323
2459064.831726173,6276.9487,10.873064
2459064.83311506,6268.5796,10.875567
2459064.834503947,6290.041,10.875371
2459064.835892834,6278.8633,10.880228
2459064.8372817207,6276.5205,10.871853
2459064.8386706077,6275.5176,10.867812
2459064.840059495,6302.7954,10.88398
2459064.8414483815,6287.3657,10.870976
2459064.842837269,6280.8105,10.879417
2459064.844226156,6291.2124,10.875131
2459064.845615043,6280.1064,10.874759
2459064.84700393,6264.3853,10.860705
2459064.8483928167,6284.896,10.878361
2459064.8497817037,6288.325,10.8770275
2459064.8511705906,6276.7124,10.866298
2459064.8525594776,6295.31,10.88231
2459064.8539483645,6271.4937,10.870465
2459064.855337252,6296.6875,10.883875
2459064.8567261384,6278.481,10.87125
2459064.858115026,6267.6504,10.868758
2459064.8595039127,6275.3296,10.871806
2459064.8608927997,6287.2104,10.877626
2459064.8622816866,6288.1426,10.87662
2459064.8636705736,6290.1743,10.875621
2459064.8650594605,6281.974,10.872101
2459064.8664483475,6274.468,10.8679495
2459064.8678372344,6264.357,10.867987
2459064.8692261213,6290.6104,10.878995
2459064.8706150083,6248.9243,10.857524
2459064.872003895,6274.317,10.869398
2459064.873392782,6275.088,10.8685255
2459064.874781669,6251.8467,10.85935
2459064.876170556,6284.2827,10.872376
2459064.877559443,6277.437,10.865165
2459064.87894833,6259.333,10.863658
2459064.880337217,6264.392,10.863109
2459064.881726104,6294.7344,10.880845
2459064.883114991,6276.9355,10.86614
2459064.8845038777,6298.8286,10.883713
2459064.8858927647,6276.601,10.871335
2459064.8872816516,6291.034,10.888289
2459064.8886705386,6286.9976,10.876942
2459064.8900594255,6266.6704,10.863428
2459064.8914483124,6297.1636,10.880484
2459064.8928371994,6280.1904,10.876371
2459064.8942260863,6293.977,10.884168
2459064.8956149733,6278.635,10.870986
2459064.89700386,6267.4033,10.866858
2459064.898392747,6286.6147,10.878825
2459064.899781634,6285.7227,10.880639
2459064.901170521,6265.401,10.863514
2459064.902559408,6290.7217,10.873877
2459064.903948295,6282.39,10.873751
2459064.905337182,6272.495,10.871192
2459064.906726069,6292.392,10.880309
2459064.9081149558,6298.2476,10.875819
2459064.9095038427,6278.717,10.873987
2459064.9108927296,6286.9365,10.875729
2459064.9122816166,6298.6724,10.878765
2459064.913670503,6286.215,10.886265
2459064.91505939,6279.725,10.871823
2459064.916448277,6292.4116,10.873003
2459064.917837164,6306.845,10.89699
2459064.919226051,6253.537,10.851599
2459064.920614938,6286.1885,10.877751
2459064.9220038247,6292.578,10.870443
2459064.9233927117,6311.963,10.892156
2459064.9247815986,6298.498,10.880195
2459064.9261704856,6276.3975,10.874366
2459064.9275593725,6304.848,10.877131
